RunId,iteration,Step,size,n_resources,capacidad,densidad_obstaculos,max_steps,policy,lambda_dinamismo,competencia,costo_edicion,radio,rng,politica,entregas,pasos_utiles,pasos_deliberando,n_ediciones,n_ediciones_desperdiciadas,divergencias_reales,divergencias_detectadas,tareas_fallidas,carga_perdida,ceguera,latencia_deteccion,utilidad_bruta,costo_deliberacion,utilidad_neta
0,0,400.0,15,8,3,0.15,400,OPEN_LOOP,0.0,0.5,5,3,0,OPEN_LOOP,12,400,0,0,0,0,0,0,0,0.0,0.0,120.0,0.0,120.0
1,0,400.0,15,8,3,0.15,400,OPEN_LOOP,0.0,0.7,5,3,0,OPEN_LOOP,12,400,0,0,0,0,0,0,0,0.0,0.0,120.0,0.0,120.0
2,0,400.0,15,8,3,0.15,400,OPEN_LOOP,0.0,0.9,5,3,0,OPEN_LOOP,12,400,0,0,0,0,0,0,0,0.0,0.0,120.0,0.0,120.0
3,0,400.0,15,8,3,0.15,400,OPEN_LOOP,0.0,1.0,5,3,0,OPEN_LOOP,12,400,0,0,0,0,0,0,0,0.0,0.0,120.0,0.0,120.0
4,0,400.0,15,8,3,0.15,400,OPEN_LOOP,0.1,0.5,5,3,0,OPEN_LOOP,6,398,0,0,0,3,3,2,0,0.0,1.0,60.0,0.0,60.0
5,0,400.0,15,8,3,0.15,400,OPEN_LOOP,0.1,0.7,5,3,0,OPEN_LOOP,6,398,0,0,0,3,3,2,0,0.0,1.0,60.0,0.0,60.0
6,0,400.0,15,8,3,0.15,400,OPEN_LOOP,0.1,0.9,5,3,0,OPEN_LOOP,6,398,0,0,0,3,3,2,0,0.0,1.0,60.0,0.0,60.0
7,0,400.0,15,8,3,0.15,400,OPEN_LOOP,0.1,1.0,5,3,0,OPEN_LOOP,6,398,0,0,0,3,3,2,0,0.0,1.0,60.0,0.0,60.0
8,0,400.0,15,8,3,0.15,400,OPEN_LOOP,0.25,0.5,5,3,0,OPEN_LOOP,8,396,0,0,0,5,5,4,0,0.0,1.8,80.0,0.0,80.0
10,0,400.0,15,8,3,0.15,400,OPEN_LOOP,0.25,0.9,5,3,0,OPEN_LOOP,8,396,0,0,0,5,5,4,0,0.0,1.8,80.0,0.0,80.0
9,0,400.0,15,8,3,0.15,400,OPEN_LOOP,0.25,0.7,5,3,0,OPEN_LOOP,8,396,0,0,0,5,5,4,0,0.0,1.8,80.0,0.0,80.0
11,0,400.0,15,8,3,0.15,400,OPEN_LOOP,0.25,1.0,5,3,0,OPEN_LOOP,8,396,0,0,0,5,5,4,0,0.0,1.8,80.0,0.0,80.0
13,0,400.0,15,8,3,0.15,400,OPEN_LOOP,0.5,0.7,5,3,0,OPEN_LOOP,8,394,0,0,0,8,8,6,0,0.0,1.25,80.0,0.0,80.0
15,0,400.0,15,8,3,0.15,400,OPEN_LOOP,0.5,1.0,5,3,0,OPEN_LOOP,8,394,0,0,0,8,8,6,0,0.0,1.25,80.0,0.0,80.0
14,0,400.0,15,8,3,0.15,400,OPEN_LOOP,0.5,0.9,5,3,0,OPEN_LOOP,8,394,0,0,0,8,8,6,0,0.0,1.25,80.0,0.0,80.0
12,0,400.0,15,8,3,0.15,400,OPEN_LOOP,0.5,0.5,5,3,0,OPEN_LOOP,8,394,0,0,0,8,8,6,0,0.0,1.25,80.0,0.0,80.0
16,0,400.0,15,8,3,0.15,400,COLD_RESTART,0.0,0.5,5,3,0,COLD_RESTART,12,400,0,0,0,0,0,0,0,0.0,0.0,120.0,0.0,120.0
17,0,400.0,15,8,3,0.15,400,COLD_RESTART,0.0,0.7,5,3,0,COLD_RESTART,12,400,0,0,0,0,0,0,0,0.0,0.0,120.0,0.0,120.0
18,0,400.0,15,8,3,0.15,400,COLD_RESTART,0.0,0.9,5,3,0,COLD_RESTART,12,400,0,0,0,0,0,0,0,0.0,0.0,120.0,0.0,120.0
19,0,400.0,15,8,3,0.15,400,COLD_RESTART,0.0,1.0,5,3,0,COLD_RESTART,12,400,0,0,0,0,0,0,0,0.0,0.0,120.0,0.0,120.0
20,0,400.0,15,8,3,0.15,400,COLD_RESTART,0.1,0.5,5,3,0,COLD_RESTART,6,373,23,4,3,5,5,0,0,0.0,1.0,60.0,0.0,60.0
22,0,400.0,15,8,3,0.15,400,COLD_RESTART,0.1,0.9,5,3,0,COLD_RESTART,10,338,50,10,2,10,10,2,0,0.0,2.7,100.0,0.0,100.0
21,0,400.0,15,8,3,0.15,400,COLD_RESTART,0.1,0.7,5,3,0,COLD_RESTART,10,322,64,12,4,15,14,2,0,0.06666666666666665,2.7857142857142856,100.0,0.0,100.0
23,0,400.0,15,8,3,0.15,400,COLD_RESTART,0.1,1.0,5,3,0,COLD_RESTART,11,333,56,9,7,15,14,1,1,0.06666666666666665,2.4285714285714284,110.0,0.0,110.0
26,0,400.0,15,8,3,0.15,400,COLD_RESTART,0.25,0.9,5,3,0,COLD_RESTART,6,341,47,5,11,16,16,4,0,0.0,1.0,60.0,0.0,60.0
27,0,400.0,15,8,3,0.15,400,COLD_RESTART,0.25,1.0,5,3,0,COLD_RESTART,6,341,47,5,11,16,16,4,0,0.0,1.0,60.0,0.0,60.0
24,0,400.0,15,8,3,0.15,400,COLD_RESTART,0.25,0.5,5,3,0,COLD_RESTART,4,261,122,11,39,31,31,3,0,0.0,1.2903225806451613,40.0,0.0,40.0
25,0,400.0,15,8,3,0.15,400,COLD_RESTART,0.25,0.7,5,3,0,COLD_RESTART,5,217,162,17,53,38,37,4,2,0.02631578947368418,1.2702702702702702,50.0,0.0,50.0
28,0,400.0,15,8,3,0.15,400,COLD_RESTART,0.5,0.5,5,3,0,COLD_RESTART,3,170,197,14,98,63,63,10,0,0.0,1.0,30.0,0.0,30.0
29,0,400.0,15,8,3,0.15,400,COLD_RESTART,0.5,0.7,5,3,0,COLD_RESTART,3,219,160,6,94,53,50,8,0,0.05660377358490565,1.06,30.0,0.0,30.0
30,0,400.0,15,8,3,0.15,400,COLD_RESTART,0.5,0.9,5,3,0,COLD_RESTART,3,266,109,6,51,40,39,11,0,0.025000000000000022,1.1282051282051282,30.0,0.0,30.0
34,0,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.0,0.9,5,3,0,CLOSED_LOOP,12,400,0,0,0,0,0,0,0,0.0,0.0,120.0,0.0,120.0
33,0,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.0,0.7,5,3,0,CLOSED_LOOP,12,400,0,0,0,0,0,0,0,0.0,0.0,120.0,0.0,120.0
32,0,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.0,0.5,5,3,0,CLOSED_LOOP,12,400,0,0,0,0,0,0,0,0.0,0.0,120.0,0.0,120.0
