RunId,iteration,Step,size,n_resources,capacidad,densidad_obstaculos,max_steps,policy,lambda_dinamismo,costo_edicion,competencia,radio,rng,politica,entregas,pasos_utiles,pasos_deliberando,n_ediciones,n_ediciones_desperdiciadas,divergencias_reales,divergencias_detectadas,tareas_fallidas,carga_perdida,ceguera,latencia_deteccion,utilidad_bruta,costo_deliberacion,utilidad_neta
0,0,400.0,15,8,3,0.15,400,OPEN_LOOP,0.0,10,0.5,3,0,OPEN_LOOP,12,400,0,0,0,0,0,0,0,0.0,0.0,120.0,0.0,120.0
1,0,400.0,15,8,3,0.15,400,OPEN_LOOP,0.05,10,0.5,3,0,OPEN_LOOP,12,396,0,0,0,4,4,4,0,0.0,4.5,120.0,0.0,120.0
2,0,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.0,10,0.5,3,0,CLOSED_LOOP,12,400,0,0,0,0,0,0,0,0.0,0.0,120.0,0.0,120.0
4,1,400.0,15,8,3,0.15,400,OPEN_LOOP,0.0,10,0.5,3,1,OPEN_LOOP,7,400,0,0,0,0,0,0,0,0.0,0.0,70.0,0.0,70.0
3,0,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.05,10,0.5,3,0,CLOSED_LOOP,6,333,63,4,3,7,7,0,0,0.0,1.2857142857142858,60.0,0.0,60.0
5,1,400.0,15,8,3,0.15,400,OPEN_LOOP,0.05,10,0.5,3,1,OPEN_LOOP,11,397,0,0,0,2,1,3,0,0.5,12.0,110.0,0.0,110.0
7,1,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.05,10,0.5,3,1,CLOSED_LOOP,9,378,20,1,1,3,2,1,0,0.33333333333333337,6.5,90.0,0.0,90.0
6,1,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.0,10,0.5,3,1,CLOSED_LOOP,7,400,0,0,0,0,0,0,0,0.0,0.0,70.0,0.0,70.0
8,2,400.0,15,8,3,0.15,400,OPEN_LOOP,0.0,10,0.5,3,2,OPEN_LOOP,15,400,0,0,0,0,0,0,0,0.0,0.0,150.0,0.0,150.0
9,2,400.0,15,8,3,0.15,400,OPEN_LOOP,0.05,10,0.5,3,2,OPEN_LOOP,15,392,0,0,0,7,7,8,0,0.0,8.714285714285714,150.0,0.0,150.0
10,2,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.0,10,0.5,3,2,CLOSED_LOOP,15,400,0,0,0,0,0,0,0,0.0,0.0,150.0,0.0,150.0
12,3,400.0,15,8,3,0.15,400,OPEN_LOOP,0.0,10,0.5,3,3,OPEN_LOOP,11,400,0,0,0,0,0,0,0,0.0,0.0,110.0,0.0,110.0
13,3,400.0,15,8,3,0.15,400,OPEN_LOOP,0.05,10,0.5,3,3,OPEN_LOOP,7,399,0,0,0,1,1,1,0,0.0,4.0,70.0,0.0,70.0
15,3,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.05,10,0.5,3,3,CLOSED_LOOP,11,356,39,3,1,6,5,1,0,0.16666666666666663,5.0,110.0,0.0,110.0
16,4,400.0,15,8,3,0.15,400,OPEN_LOOP,0.0,10,0.5,3,4,OPEN_LOOP,5,400,0,0,0,0,0,0,0,0.0,0.0,50.0,0.0,50.0
14,3,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.0,10,0.5,3,3,CLOSED_LOOP,11,400,0,0,0,0,0,0,0,0.0,0.0,110.0,0.0,110.0
11,2,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.05,10,0.5,3,2,CLOSED_LOOP,11,285,104,7,7,15,15,3,0,0.0,3.8,110.0,0.0,110.0
18,4,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.0,10,0.5,3,4,CLOSED_LOOP,5,400,0,0,0,0,0,0,0,0.0,0.0,50.0,0.0,50.0
17,4,400.0,15,8,3,0.15,400,OPEN_LOOP,0.05,10,0.5,3,4,OPEN_LOOP,18,390,0,0,0,11,11,10,0,0.0,6.363636363636363,180.0,0.0,180.0
21,5,400.0,15,8,3,0.15,400,OPEN_LOOP,0.05,10,0.5,3,5,OPEN_LOOP,12,395,0,0,0,5,5,5,0,0.0,5.0,120.0,0.0,120.0
19,4,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.05,10,0.5,3,4,CLOSED_LOOP,8,354,43,3,2,6,6,0,0,0.0,3.3333333333333335,80.0,0.0,80.0
22,5,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.0,10,0.5,3,5,CLOSED_LOOP,5,400,0,0,0,0,0,0,0,0.0,0.0,50.0,0.0,50.0
20,5,400.0,15,8,3,0.15,400,OPEN_LOOP,0.0,10,0.5,3,5,OPEN_LOOP,5,400,0,0,0,0,0,0,0,0.0,0.0,50.0,0.0,50.0
23,5,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.05,10,0.5,3,5,CLOSED_LOOP,6,385,11,1,1,3,2,2,0,0.33333333333333337,8.0,60.0,0.0,60.0
