RunId,iteration,Step,size,n_resources,capacidad,densidad_obstaculos,max_steps,policy,lambda_dinamismo,presupuesto,competencia,costo_edicion,radio,rng,politica,entregas,pasos_utiles,pasos_deliberando,n_ediciones,n_ediciones_desperdiciadas,divergencias_reales,divergencias_detectadas,tareas_fallidas,carga_perdida,ceguera,latencia_deteccion,utilidad_bruta,costo_deliberacion,utilidad_neta
0,0,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.1,3,0.9,5,3,0,CLOSED_LOOP,10,338,50,10,2,10,10,2,0,0.0,2.7,100.0,0.0,100.0
1,0,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.1,5,0.9,5,3,0,CLOSED_LOOP,10,338,50,10,2,10,10,2,0,0.0,2.7,100.0,0.0,100.0
2,0,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.1,10,0.9,5,3,0,CLOSED_LOOP,10,338,50,10,2,10,10,2,0,0.0,2.7,100.0,0.0,100.0
3,0,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.1,25,0.9,5,3,0,CLOSED_LOOP,10,338,50,10,2,10,10,2,0,0.0,2.7,100.0,0.0,100.0
5,0,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.25,5,0.9,5,3,0,CLOSED_LOOP,6,341,47,5,11,16,16,4,0,0.0,1.0,60.0,0.0,60.0
4,0,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.25,3,0.9,5,3,0,CLOSED_LOOP,6,341,47,5,11,16,16,4,0,0.0,1.0,60.0,0.0,60.0
6,0,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.25,10,0.9,5,3,0,CLOSED_LOOP,6,341,47,5,11,16,16,4,0,0.0,1.0,60.0,0.0,60.0
7,0,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.25,25,0.9,5,3,0,CLOSED_LOOP,6,341,47,5,11,16,16,4,0,0.0,1.0,60.0,0.0,60.0
8,0,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.5,3,0.9,5,3,0,CLOSED_LOOP,3,266,109,6,51,40,39,11,0,0.025000000000000022,1.1282051282051282,30.0,0.0,30.0
9,0,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.5,5,0.9,5,3,0,CLOSED_LOOP,3,266,109,6,51,40,39,11,0,0.025000000000000022,1.1282051282051282,30.0,0.0,30.0
10,0,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.5,10,0.9,5,3,0,CLOSED_LOOP,3,266,109,6,51,40,39,11,0,0.025000000000000022,1.1282051282051282,30.0,0.0,30.0
12,0,400.0,15,8,3,0.15,400,GOVERNED,0.1,3,0.9,5,3,0,GOVERNED,9,379,15,3,0,7,7,3,0,0.0,2.142857142857143,90.0,0.0,90.0
11,0,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.5,25,0.9,5,3,0,CLOSED_LOOP,3,266,109,6,51,40,39,11,0,0.025000000000000022,1.1282051282051282,30.0,0.0,30.0
14,0,400.0,15,8,3,0.15,400,GOVERNED,0.1,10,0.9,5,3,0,GOVERNED,10,338,50,10,2,10,10,2,0,0.0,2.7,100.0,0.0,100.0
13,0,400.0,15,8,3,0.15,400,GOVERNED,0.1,5,0.9,5,3,0,GOVERNED,10,365,25,5,1,10,10,5,0,0.0,2.0,100.0,0.0,100.0
17,0,400.0,15,8,3,0.15,400,GOVERNED,0.25,5,0.9,5,3,0,GOVERNED,9,356,31,5,6,16,16,8,0,0.0,1.0,90.0,0.0,90.0
15,0,400.0,15,8,3,0.15,400,GOVERNED,0.1,25,0.9,5,3,0,GOVERNED,10,338,50,10,2,10,10,2,0,0.0,2.7,100.0,0.0,100.0
16,0,400.0,15,8,3,0.15,400,GOVERNED,0.25,3,0.9,5,3,0,GOVERNED,10,372,18,3,2,10,10,7,0,0.0,1.8,100.0,0.0,100.0
19,0,400.0,15,8,3,0.15,400,GOVERNED,0.25,25,0.9,5,3,0,GOVERNED,6,341,47,5,11,16,16,4,0,0.0,1.0,60.0,0.0,60.0
20,0,400.0,15,8,3,0.15,400,GOVERNED,0.5,3,0.9,5,3,0,GOVERNED,10,347,34,3,20,23,23,14,0,0.0,1.2173913043478262,100.0,0.0,100.0
18,0,400.0,15,8,3,0.15,400,GOVERNED,0.25,10,0.9,5,3,0,GOVERNED,6,341,47,5,11,16,16,4,0,0.0,1.0,60.0,0.0,60.0
