RunId,iteration,Step,size,n_resources,capacidad,densidad_obstaculos,max_steps,policy,lambda_dinamismo,costo_edicion,competencia,radio,rng,politica,entregas,pasos_utiles,pasos_deliberando,n_ediciones,n_ediciones_desperdiciadas,divergencias_reales,divergencias_detectadas,tareas_fallidas,carga_perdida,ceguera,latencia_deteccion,utilidad_bruta,costo_deliberacion,utilidad_neta
0,0,400.0,15,8,3,0.15,400,REFLEX,0.0,0,0.9,3,0,REFLEX,4,404,0,0,0,0,0,0,0,0.0,0.0,40.0,0.0,40.0
2,0,400.0,15,8,3,0.15,400,REFLEX,0.0,5,0.9,3,0,REFLEX,4,404,0,0,0,0,0,0,0,0.0,0.0,40.0,0.0,40.0
1,0,400.0,15,8,3,0.15,400,REFLEX,0.0,2,0.9,3,0,REFLEX,4,404,0,0,0,0,0,0,0,0.0,0.0,40.0,0.0,40.0
3,0,400.0,15,8,3,0.15,400,REFLEX,0.0,10,0.9,3,0,REFLEX,4,404,0,0,0,0,0,0,0,0.0,0.0,40.0,0.0,40.0
5,0,400.0,15,8,3,0.15,400,REFLEX,0.05,2,0.9,3,0,REFLEX,11,407,0,0,0,0,0,0,0,0.0,0.0,110.0,0.0,110.0
8,0,400.0,15,8,3,0.15,400,REFLEX,0.1,0,0.9,3,0,REFLEX,4,404,0,0,0,0,0,0,0,0.0,0.0,40.0,0.0,40.0
7,0,400.0,15,8,3,0.15,400,REFLEX,0.05,10,0.9,3,0,REFLEX,11,407,0,0,0,0,0,0,0,0.0,0.0,110.0,0.0,110.0
4,0,400.0,15,8,3,0.15,400,REFLEX,0.05,0,0.9,3,0,REFLEX,11,407,0,0,0,0,0,0,0,0.0,0.0,110.0,0.0,110.0
6,0,400.0,15,8,3,0.15,400,REFLEX,0.05,5,0.9,3,0,REFLEX,11,407,0,0,0,0,0,0,0,0.0,0.0,110.0,0.0,110.0
12,0,400.0,15,8,3,0.15,400,REFLEX,0.25,0,0.9,3,0,REFLEX,12,407,0,0,0,0,0,0,0,0.0,0.0,120.0,0.0,120.0
13,0,400.0,15,8,3,0.15,400,REFLEX,0.25,2,0.9,3,0,REFLEX,12,407,0,0,0,0,0,0,0,0.0,0.0,120.0,0.0,120.0
14,0,400.0,15,8,3,0.15,400,REFLEX,0.25,5,0.9,3,0,REFLEX,12,407,0,0,0,0,0,0,0,0.0,0.0,120.0,0.0,120.0
11,0,400.0,15,8,3,0.15,400,REFLEX,0.1,10,0.9,3,0,REFLEX,4,404,0,0,0,0,0,0,0,0.0,0.0,40.0,0.0,40.0
9,0,400.0,15,8,3,0.15,400,REFLEX,0.1,2,0.9,3,0,REFLEX,4,404,0,0,0,0,0,0,0,0.0,0.0,40.0,0.0,40.0
16,0,400.0,15,8,3,0.15,400,REFLEX,0.5,0,0.9,3,0,REFLEX,12,407,0,0,0,0,0,0,0,0.0,0.0,120.0,0.0,120.0
17,0,400.0,15,8,3,0.15,400,REFLEX,0.5,2,0.9,3,0,REFLEX,12,407,0,0,0,0,0,0,0,0.0,0.0,120.0,0.0,120.0
18,0,400.0,15,8,3,0.15,400,REFLEX,0.5,5,0.9,3,0,REFLEX,12,407,0,0,0,0,0,0,0,0.0,0.0,120.0,0.0,120.0
19,0,400.0,15,8,3,0.15,400,REFLEX,0.5,10,0.9,3,0,REFLEX,12,407,0,0,0,0,0,0,0,0.0,0.0,120.0,0.0,120.0
10,0,400.0,15,8,3,0.15,400,REFLEX,0.1,5,0.9,3,0,REFLEX,4,404,0,0,0,0,0,0,0,0.0,0.0,40.0,0.0,40.0
24,0,400.0,15,8,3,0.15,400,MODEL_BASED,0.05,0,0.9,3,0,MODEL_BASED,11,407,0,0,0,0,0,0,0,0.0,0.0,110.0,0.0,110.0
15,0,400.0,15,8,3,0.15,400,REFLEX,0.25,10,0.9,3,0,REFLEX,12,407,0,0,0,0,0,0,0,0.0,0.0,120.0,0.0,120.0
22,0,400.0,15,8,3,0.15,400,MODEL_BASED,0.0,5,0.9,3,0,MODEL_BASED,4,404,0,0,0,0,0,0,0,0.0,0.0,40.0,0.0,40.0
26,0,400.0,15,8,3,0.15,400,MODEL_BASED,0.05,5,0.9,3,0,MODEL_BASED,11,407,0,0,0,0,0,0,0,0.0,0.0,110.0,0.0,110.0
29,0,400.0,15,8,3,0.15,400,MODEL_BASED,0.1,2,0.9,3,0,MODEL_BASED,4,404,0,0,0,0,0,0,0,0.0,0.0,40.0,0.0,40.0
23,0,400.0,15,8,3,0.15,400,MODEL_BASED,0.0,10,0.9,3,0,MODEL_BASED,4,404,0,0,0,0,0,0,0,0.0,0.0,40.0,0.0,40.0
20,0,400.0,15,8,3,0.15,400,MODEL_BASED,0.0,0,0.9,3,0,MODEL_BASED,4,404,0,0,0,0,0,0,0,0.0,0.0,40.0,0.0,40.0
25,0,400.0,15,8,3,0.15,400,MODEL_BASED,0.05,2,0.9,3,0,MODEL_BASED,11,407,0,0,0,0,0,0,0,0.0,0.0,110.0,0.0,110.0
31,0,400.0,15,8,3,0.15,400,MODEL_BASED,0.1,10,0.9,3,0,MODEL_BASED,4,404,0,0,0,0,0,0,0,0.0,0.0,40.0,0.0,40.0
30,0,400.0,15,8,3,0.15,400,MODEL_BASED,0.1,5,0.9,3,0,MODEL_BASED,4,404,0,0,0,0,0,0,0,0.0,0.0,40.0,0.0,40.0
27,0,400.0,15,8,3,0.15,400,MODEL_BASED,0.05,10,0.9,3,0,MODEL_BASED,11,407,0,0,0,0,0,0,0,0.0,0.0,110.0,0.0,110.0
32,0,400.0,15,8,3,0.15,400,MODEL_BASED,0.25,0,0.9,3,0,MODEL_BASED,10,406,0,0,0,0,0,0,0,0.0,0.0,100.0,0.0,100.0
28,0,400.0,15,8,3,0.15,400,MODEL_BASED,0.1,0,0.9,3,0,MODEL_BASED,4,404,0,0,0,0,0,0,0,0.0,0.0,40.0,0.0,40.0
21,0,400.0,15,8,3,0.15,400,MODEL_BASED,0.0,2,0.9,3,0,MODEL_BASED,4,404,0,0,0,0,0,0,0,0.0,0.0,40.0,0.0,40.0
35,0,400.0,15,8,3,0.15,400,MODEL_BASED,0.25,10,0.9,3,0,MODEL_BASED,10,406,0,0,0,0,0,0,0,0.0,0.0,100.0,0.0,100.0
36,0,400.0,15,8,3,0.15,400,MODEL_BASED,0.5,0,0.9,3,0,MODEL_BASED,11,409,0,0,0,0,0,0,0,0.0,0.0,110.0,0.0,110.0
40,0,400.0,15,8,3,0.15,400,OPEN_LOOP,0.0,0,0.9,3,0,OPEN_LOOP,12,400,0,0,0,0,0,0,0,0.0,0.0,120.0,0.0,120.0
38,0,400.0,15,8,3,0.15,400,MODEL_BASED,0.5,5,0.9,3,0,MODEL_BASED,11,409,0,0,0,0,0,0,0,0.0,0.0,110.0,0.0,110.0
41,0,400.0,15,8,3,0.15,400,OPEN_LOOP,0.0,2,0.9,3,0,OPEN_LOOP,12,400,0,0,0,0,0,0,0,0.0,0.0,120.0,0.0,120.0
37,0,400.0,15,8,3,0.15,400,MODEL_BASED,0.5,2,0.9,3,0,MODEL_BASED,11,409,0,0,0,0,0,0,0,0.0,0.0,110.0,0.0,110.0
43,0,400.0,15,8,3,0.15,400,OPEN_LOOP,0.0,10,0.9,3,0,OPEN_LOOP,12,400,0,0,0,0,0,0,0,0.0,0.0,120.0,0.0,120.0
46,0,400.0,15,8,3,0.15,400,OPEN_LOOP,0.05,5,0.9,3,0,OPEN_LOOP,12,396,0,0,0,4,4,4,0,0.0,4.5,120.0,0.0,120.0
45,0,400.0,15,8,3,0.15,400,OPEN_LOOP,0.05,2,0.9,3,0,OPEN_LOOP,12,396,0,0,0,4,4,4,0,0.0,4.5,120.0,0.0,120.0
34,0,400.0,15,8,3,0.15,400,MODEL_BASED,0.25,5,0.9,3,0,MODEL_BASED,10,406,0,0,0,0,0,0,0,0.0,0.0,100.0,0.0,100.0
47,0,400.0,15,8,3,0.15,400,OPEN_LOOP,0.05,10,0.9,3,0,OPEN_LOOP,12,396,0,0,0,4,4,4,0,0.0,4.5,120.0,0.0,120.0
33,0,400.0,15,8,3,0.15,400,MODEL_BASED,0.25,2,0.9,3,0,MODEL_BASED,10,406,0,0,0,0,0,0,0,0.0,0.0,100.0,0.0,100.0
44,0,400.0,15,8,3,0.15,400,OPEN_LOOP,0.05,0,0.9,3,0,OPEN_LOOP,12,396,0,0,0,4,4,4,0,0.0,4.5,120.0,0.0,120.0
49,0,400.0,15,8,3,0.15,400,OPEN_LOOP,0.1,2,0.9,3,0,OPEN_LOOP,6,398,0,0,0,3,3,2,0,0.0,1.0,60.0,0.0,60.0
51,0,400.0,15,8,3,0.15,400,OPEN_LOOP,0.1,10,0.9,3,0,OPEN_LOOP,6,398,0,0,0,3,3,2,0,0.0,1.0,60.0,0.0,60.0
50,0,400.0,15,8,3,0.15,400,OPEN_LOOP,0.1,5,0.9,3,0,OPEN_LOOP,6,398,0,0,0,3,3,2,0,0.0,1.0,60.0,0.0,60.0
39,0,400.0,15,8,3,0.15,400,MODEL_BASED,0.5,10,0.9,3,0,MODEL_BASED,11,409,0,0,0,0,0,0,0,0.0,0.0,110.0,0.0,110.0
42,0,400.0,15,8,3,0.15,400,OPEN_LOOP,0.0,5,0.9,3,0,OPEN_LOOP,12,400,0,0,0,0,0,0,0,0.0,0.0,120.0,0.0,120.0
53,0,400.0,15,8,3,0.15,400,OPEN_LOOP,0.25,2,0.9,3,0,OPEN_LOOP,8,396,0,0,0,5,5,4,0,0.0,1.8,80.0,0.0,80.0
48,0,400.0,15,8,3,0.15,400,OPEN_LOOP,0.1,0,0.9,3,0,OPEN_LOOP,6,398,0,0,0,3,3,2,0,0.0,1.0,60.0,0.0,60.0
52,0,400.0,15,8,3,0.15,400,OPEN_LOOP,0.25,0,0.9,3,0,OPEN_LOOP,8,396,0,0,0,5,5,4,0,0.0,1.8,80.0,0.0,80.0
61,0,400.0,15,8,3,0.15,400,COLD_RESTART,0.0,2,0.9,3,0,COLD_RESTART,12,400,0,0,0,0,0,0,0,0.0,0.0,120.0,0.0,120.0
57,0,400.0,15,8,3,0.15,400,OPEN_LOOP,0.5,2,0.9,3,0,OPEN_LOOP,8,394,0,0,0,8,8,6,0,0.0,1.25,80.0,0.0,80.0
55,0,400.0,15,8,3,0.15,400,OPEN_LOOP,0.25,10,0.9,3,0,OPEN_LOOP,8,396,0,0,0,5,5,4,0,0.0,1.8,80.0,0.0,80.0
58,0,400.0,15,8,3,0.15,400,OPEN_LOOP,0.5,5,0.9,3,0,OPEN_LOOP,8,394,0,0,0,8,8,6,0,0.0,1.25,80.0,0.0,80.0
56,0,400.0,15,8,3,0.15,400,OPEN_LOOP,0.5,0,0.9,3,0,OPEN_LOOP,8,394,0,0,0,8,8,6,0,0.0,1.25,80.0,0.0,80.0
60,0,400.0,15,8,3,0.15,400,COLD_RESTART,0.0,0,0.9,3,0,COLD_RESTART,12,400,0,0,0,0,0,0,0,0.0,0.0,120.0,0.0,120.0
54,0,400.0,15,8,3,0.15,400,OPEN_LOOP,0.25,5,0.9,3,0,OPEN_LOOP,8,396,0,0,0,5,5,4,0,0.0,1.8,80.0,0.0,80.0
62,0,400.0,15,8,3,0.15,400,COLD_RESTART,0.0,5,0.9,3,0,COLD_RESTART,12,400,0,0,0,0,0,0,0,0.0,0.0,120.0,0.0,120.0
